cve,cvss_v3_base,cvss_v3_severity,cvss_v2_base,last_fetched
CVE-2010-1428,7.5,HIGH,5,2026-04-20
CVE-2010-0840,NA,NA,NA,2026-04-20
CVE-2010-0738,NA,NA,NA,2026-04-20
CVE-2018-8611,NA,NA,NA,2026-04-20
CVE-2018-19953,NA,NA,NA,2026-04-20
CVE-2018-19949,NA,NA,NA,2026-04-20
CVE-2018-19943,NA,NA,NA,2026-04-20
CVE-2017-0147,7.5,HIGH,4.3,2026-04-20
CVE-2017-0022,NA,NA,NA,2026-04-20
CVE-2017-0005,NA,NA,NA,2026-04-20
CVE-2017-0149,NA,NA,NA,2026-04-20
CVE-2017-0210,NA,NA,NA,2026-04-20
CVE-2017-8291,NA,NA,NA,2026-04-20
CVE-2017-8543,NA,NA,NA,2026-04-20
CVE-2017-18362,NA,NA,NA,2026-04-20
CVE-2016-0162,4.3,MEDIUM,4.3,2026-04-20
CVE-2016-3351,NA,NA,NA,2026-04-20
CVE-2016-4655,NA,NA,NA,2026-04-20
CVE-2016-4656,NA,NA,NA,2026-04-20
CVE-2016-4657,NA,NA,NA,2026-04-20
CVE-2016-6366,NA,NA,NA,2026-04-20
CVE-2016-6367,NA,NA,NA,2026-04-20
CVE-2016-3298,6.5,MEDIUM,2.6,2026-04-20
CVE-2022-20821,NA,NA,NA,2026-04-20
CVE-2021-1048,NA,NA,NA,2026-04-20
CVE-2021-0920,NA,NA,NA,2026-04-20
CVE-2021-30883,NA,NA,NA,2026-04-20
CVE-2020-1027,NA,NA,NA,2026-04-20
CVE-2020-0638,NA,NA,NA,2026-04-20
CVE-2019-7286,NA,NA,NA,2026-04-20
CVE-2019-7287,7.8,HIGH,9.3,2026-04-20
CVE-2019-0676,NA,NA,NA,2026-04-20
CVE-2019-5786,NA,NA,NA,2026-04-20
CVE-2019-0703,NA,NA,NA,2026-04-20
CVE-2019-0880,NA,NA,NA,2026-04-20
CVE-2019-13720,NA,NA,NA,2026-04-20
CVE-2019-11707,NA,NA,NA,2026-04-20
CVE-2019-11708,10,CRITICAL,10,2026-04-20
CVE-2019-8720,NA,NA,NA,2026-04-20
CVE-2019-18426,NA,NA,NA,2026-04-20
CVE-2019-1385,NA,NA,NA,2026-04-20
CVE-2019-1130,NA,NA,NA,2026-04-20
CVE-2018-5002,NA,NA,NA,2026-04-20
CVE-2018-8589,NA,NA,NA,2026-04-20
CVE-2022-30525,NA,NA,NA,2026-04-20
CVE-2022-22947,10,CRITICAL,6.8,2026-04-20
CVE-2022-1388,NA,NA,NA,2026-04-20
CVE-2021-1789,NA,NA,NA,2026-04-20
CVE-2019-8506,NA,NA,NA,2026-04-20
CVE-2014-4113,NA,NA,NA,2026-04-20
CVE-2014-0322,NA,NA,NA,2026-04-20
CVE-2014-0160,NA,NA,NA,2026-04-20
CVE-2022-29464,9.8,CRITICAL,10,2026-04-20
CVE-2022-26904,NA,NA,NA,2026-04-20
CVE-2022-21919,NA,NA,NA,2026-04-20
CVE-2022-0847,NA,NA,NA,2026-04-20
CVE-2021-41357,NA,NA,NA,2026-04-20
