year,geo,geo_label,value
2007,reagan,Reagan Co. (Big Lake),442101
2007,reeves,Reeves Co. (Pecos),320663
2007,schleicher,Schleicher Co. (Eldorado),176181
2007,sterling,Sterling Co. (Sterling City),186612
2007,sutton,Sutton Co. (Sonora),860059
2007,terrell,Terrell Co. (Sanderson),369296
2007,tom_green,Tom Green Co. (San Angelo),4157588
2007,TX,Texas,1288828678
2007,upton,Upton Co. (Rankin),858857
2007,US,United States,16762445000
2007,ward,Ward Co. (Monahans),737580
2007,winkler,Winkler Co. (Kermit),609816
2008,andrews,Andrews Co. (Andrews),1589049
2008,borden,Borden Co. (Gail),190072
2008,coke,Coke Co. (Robert Lee),102854
2008,concho,Concho Co. (Paint Rock),94467
2008,crane,Crane Co. (Crane),732561
2008,crockett,Crockett Co. (Ozona),673153
2008,dawson,Dawson Co. (Lamesa),517860
2008,ector,Ector Co. (Odessa),7985185
2008,gaines,Gaines Co. (Seminole),1631014
2008,glasscock,Glasscock Co. (Garden City),216949
2008,howard,Howard Co. (Big Spring),1274935
2008,irion,Irion Co. (Mertzon),195633
2008,kimble,Kimble Co. (Junction),120582
2008,loving,Loving Co. (Mentone),415139
2008,martin,Martin Co. (Stanton),484006
2008,mason,Mason Co. (Mason),87673
2008,mcculloch,McCulloch Co. (Brady),318775
2008,menard,Menard Co. (Menard),47349
2008,midland,Midland Co. (Midland),8724786
2008,pecos,Pecos Co. (Fort Stockton),2117669
2008,reagan,Reagan Co. (Big Lake),423760
2008,reeves,Reeves Co. (Pecos),323595
2008,schleicher,Schleicher Co. (Eldorado),156507
2008,sterling,Sterling Co. (Sterling City),198797
2008,sutton,Sutton Co. (Sonora),762218
2008,terrell,Terrell Co. (Sanderson),279197
2008,tom_green,Tom Green Co. (San Angelo),4370723
2008,TX,Texas,1287191538
2008,upton,Upton Co. (Rankin),903165
2008,US,United States,16781485000
2008,ward,Ward Co. (Monahans),796002
2008,winkler,Winkler Co. (Kermit),549027
2009,andrews,Andrews Co. (Andrews),1981982
2009,borden,Borden Co. (Gail),243281
2009,coke,Coke Co. (Robert Lee),132971
2009,concho,Concho Co. (Paint Rock),99596
2009,crane,Crane Co. (Crane),866226
2009,crockett,Crockett Co. (Ozona),768470
2009,dawson,Dawson Co. (Lamesa),609040
2009,ector,Ector Co. (Odessa),8194656
2009,gaines,Gaines Co. (Seminole),2102760
2009,glasscock,Glasscock Co. (Garden City),289912
2009,howard,Howard Co. (Big Spring),1405662
2009,irion,Irion Co. (Mertzon),233204
2009,kimble,Kimble Co. (Junction),116942
2009,loving,Loving Co. (Mentone),484440
2009,martin,Martin Co. (Stanton),716162
2009,mason,Mason Co. (Mason),94446
2009,mcculloch,McCulloch Co. (Brady),246432
2009,menard,Menard Co. (Menard),50380
2009,midland,Midland Co. (Midland),9054634
2009,pecos,Pecos Co. (Fort Stockton),2537828
2009,reagan,Reagan Co. (Big Lake),559909
2009,reeves,Reeves Co. (Pecos),371789
2009,schleicher,Schleicher Co. (Eldorado),173019
2009,sterling,Sterling Co. (Sterling City),188742
2009,sutton,Sutton Co. (Sonora),736762
2009,terrell,Terrell Co. (Sanderson),290372
2009,tom_green,Tom Green Co. (San Angelo),4647936
2009,TX,Texas,1285560204
2009,upton,Upton Co. (Rankin),1232249
2009,US,United States,16349110000
2009,ward,Ward Co. (Monahans),1010296
2009,winkler,Winkler Co. (Kermit),598153
2010,andrews,Andrews Co. (Andrews),1926167
2010,borden,Borden Co. (Gail),226431
2010,coke,Coke Co. (Robert Lee),129018
2010,concho,Concho Co. (Paint Rock),96084
2010,crane,Crane Co. (Crane),717570
2010,crockett,Crockett Co. (Ozona),576718
2010,dawson,Dawson Co. (Lamesa),680370
2010,ector,Ector Co. (Odessa),8652430
2010,gaines,Gaines Co. (Seminole),1965080
2010,glasscock,Glasscock Co. (Garden City),334417
2010,howard,Howard Co. (Big Spring),1451590
